Date,Open,High,Low,Close,Volume,Adj Close,,
1/29/2003,85.419998,87.18,84.150002,86.059998,52958300,66.160881,,86.059998
2/3/2003,86.139999,86.809998,82.970001,83.419998,47080600,64.13131,,83.419998
2/10/2003,83.459999,84.879997,81,84.150002,49141100,64.69252,,84.150002
2/18/2003,84.529999,85.800003,83.459999,85.18,40290100,65.48436,,85.18
2/24/2003,84.93,85.230003,82.220001,84.900002,43995800,65.269104,,84.900002
3/3/2003,85.260002,85.779999,81.43,83.32,44618800,64.054436,,83.32
3/10/2003,82.599998,84.769997,79.379997,84.129997,57529200,64.677139,,84.129997
3/17/2003,83.459999,89.879997,83.220001,89.669998,65425500,69.214127,,89.669998
3/24/2003,88.019997,88.260002,85.989998,86.709999,51576600,66.929367,,86.709999
3/31/2003,85.349998,88.989998,84.400002,88.220001,50026000,68.094902,,88.220001
4/7/2003,90.339996,90.849998,85.709999,87.150002,50935700,67.268997,,87.150002
4/14/2003,87.470001,90.059998,87,89.559998,43903100,69.129219,,89.559998
4/21/2003,89.860001,92.349998,88.889999,90.230003,45930600,69.646378,,90.230003
4/28/2003,90.440002,93.470001,90.300003,93.209999,49520200,71.946564,,93.209999
5/5/2003,93.470001,94.379997,92.279999,93.730003,39086100,72.347946,,93.730003
5/12/2003,93.5,95.449997,93.279999,94.870003,37979000,73.227882,,94.870003
5/19/2003,94.150002,94.419998,91.589996,93.760002,42184400,72.371101,,93.760002
5/27/2003,93.300003,97.089996,93.07,96.949997,46205000,74.833382,,96.949997
6/2/2003,97.529999,101.400002,96.669998,99.260002,48907900,76.616417,,99.260002
6/9/2003,98.769997,100.900002,97.769997,99.559998,38090900,76.847977,,99.559998
6/16/2003,99.959999,102.18,99.419998,99.440002,38749100,77.032616,,99.440002
6/23/2003,99.449997,99.660004,96.959999,97.660004,41176100,75.653717,,97.660004
6/30/2003,98.220001,99.849998,96.43,98.739998,37531600,76.490349,,98.739998
7/7/2003,99.650002,101.400002,98.629997,100.239998,37725200,77.652344,,100.239998
7/14/2003,101.199997,101.900002,98.160004,99.510002,42506800,77.086845,,99.510002
7/21/2003,99.449997,100.339996,97.849998,100.230003,41233400,77.6446,,100.230003
7/28/2003,100.370003,100.980003,98.239998,98.510002,44095200,76.31218,,98.510002
8/4/2003,98.309998,99,96.339996,98.279999,47502200,76.134003,,98.279999
8/11/2003,98.260002,99.849998,97.839996,99.620003,32432200,77.172058,,99.620003
8/18/2003,99.93,101.82,99.730003,99.769997,36028200,77.288254,,99.769997
8/25/2003,99.709999,101.480003,98.830002,101.440002,28713400,78.581947,,101.440002
9/2/2003,101.639999,103.699997,101.050003,102.830002,38587400,79.65873,,102.830002
9/8/2003,103.040001,103.879997,101.349998,102.449997,38902400,79.364357,,102.449997
9/15/2003,102.519997,104.699997,101.949997,103.669998,31133200,80.617729,,103.669998
9/22/2003,102.849998,103.290001,99.849998,99.949997,41289800,77.724915,,99.949997
9/29/2003,100.300003,104.279999,99.25,103.389999,53346400,80.399994,,103.389999
10/6/2003,103.480003,105.220001,102.910004,104.57,31299900,81.317604,,104.57
10/13/2003,104.709999,105.889999,103.980003,104.260002,33378800,81.076538,,104.260002
10/20/2003,104.449997,105.279999,102.18,103.580002,37170900,80.547745,,103.580002
10/27/2003,103.739998,105.970001,103.269997,105.300003,32651300,81.885284,,105.300003
11/3/2003,105.75,106.720001,104.900002,105.610001,32537000,82.12635,,105.610001
11/10/2003,105.739998,106.949997,104.800003,105.459999,31792500,82.009705,,105.459999
11/17/2003,104.910004,105.449997,103.620003,104.209999,39791700,81.037659,,104.209999
11/24/2003,104.690002,106.660004,104.68,106.449997,27511800,82.779564,,106.449997
12/1/2003,106.849998,108.080002,106.620003,106.849998,35608700,83.090622,,106.849998
12/8/2003,106.739998,108.199997,105.959999,108.139999,38488100,84.093773,,108.139999
12/15/2003,109.169998,109.730003,107.480003,108.900002,33120900,85.08493,,108.900002
12/22/2003,108.790001,110.080002,108.779999,109.699997,17179100,85.709976,,109.699997
12/29/2003,110.099998,112.190002,109.779999,111.230003,27904300,86.905388,,111.230003
1/5/2004,111.690002,113.5,111.589996,112.389999,33825100,87.811707,,112.389999
1/12/2004,112.550003,114.309998,111.760002,114.230003,37249600,89.249329,,114.230003
1/20/2004,114.529999,115.379997,113.720001,114.43,33680400,89.405586,,114.43
1/26/2004,114.389999,116.5,112.559998,113.480003,41901200,88.663338,,113.480003
2/2/2004,113.699997,114.699997,112.779999,114.449997,35540200,89.421211,,114.449997
2/9/2004,114.669998,116.389999,114.169998,115.129997,33655900,89.952499,,115.129997
2/17/2004,115.849998,116.599998,114.32,114.879997,37619300,89.757172,,114.879997
2/23/2004,115.220001,115.739998,113.029999,115.019997,36103700,89.866554,,115.019997
3/1/2004,115.43,116.970001,114.919998,116.379997,35999800,90.929146,,116.379997
3/8/2004,116.339996,116.620003,111.099998,112.580002,57969300,87.960159,,112.580002
3/15/2004,112.269997,113.269997,110.839996,111.059998,53553500,87.076752,,111.059998
3/22/2004,110.540001,111.790001,108.849998,111.029999,51139900,87.053238,,111.029999
3/29/2004,111.629997,114.839996,111.580002,114.639999,45556500,89.883659,,114.639999
4/5/2004,114.459999,115.410004,113.739998,114.370003,37873200,89.671967,,114.370003
4/12/2004,114.580002,115.300003,112.360001,113.830002,50055900,89.248581,,113.830002
4/19/2004,113.550003,114.669998,111.779999,114.360001,44644300,89.664131,,114.360001
4/26/2004,114.5,115.120003,110.900002,110.959999,49507100,86.998352,,110.959999
5/3/2004,111.370003,113.260002,109.959999,109.959999,47059000,86.214302,,109.959999
5/10/2004,109.440002,110.809998,108.059998,110.040001,65185400,86.277023,,110.040001
5/17/2004,108.889999,111.18,108.410004,109.809998,45116100,86.096687,,109.809998
5/24/2004,110.529999,113.029999,109.599998,112.860001,38856100,88.488052,,112.860001
6/1/2004,112.459999,113.580002,111.870003,112.980003,38061600,88.582138,,112.980003
6/7/2004,113.43,114.919998,113.419998,114.349998,30734700,89.656288,,114.349998
6/14/2004,113.82,114.449997,112.870003,113.629997,31782700,89.416977,,113.629997
